freq,age,unit,sex,geo,time,value
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2023,4.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2024,4.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Ireland,2025,4.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2014,26.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2015,25.0
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2016,23.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2017,21.8
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2018,19.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2019,17.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2020,17.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2021,14.7
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2022,12.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2023,11.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2024,10.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Greece,2025,8.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2014,24.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2015,22.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2016,19.6
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2017,17.2
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2018,15.3
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2019,14.1
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2020,15.5
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2021,14.9
Annual,From 15 to 74 years,Percentage of population in the labour force,Total,Spain,2022,13.0
