rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Above 60%,Total,France,2015,1.5,Total,Age in completed years,364221.0,Total,Total,3.2,33200.0,105.1,Percentage of total population,6.5,683.15,215800.0,336.32
Above 60%,Total,France,2016,1.6,Total,Age in completed years,377709.0,Total,Total,2.5,33360.0,105.3,Percentage of total population,6.3,663.39,210168.0,263.25
Above 60%,Total,France,2017,1.6,Total,Age in completed years,369621.0,Total,Total,2.7,33920.0,105.6,Percentage of total population,5.9,623.04,200128.0,285.12
Above 60%,Total,France,2018,1.9,Total,Age in completed years,387160.0,Total,Total,2.2,34320.0,105.9,Percentage of total population,5.7,603.63,195624.0,232.98000000000002
Above 60%,Total,France,2019,1.5,Total,Age in completed years,385596.0,Total,Total,2.8,34880.0,106.1,Percentage of total population,5.3,562.3299999999999,184864.0,297.08
Above 60%,Total,France,2020,2.7,Total,Age in completed years,331137.0,Total,Total,2.6,32130.0,106.3,Percentage of total population,5.0,531.5,160650.0,276.38
Above 60%,Total,France,2023,2.9,Total,Age in completed years,467548.0,Total,Total,2.7,35410.0,107.9,Percentage of total population,4.7,507.13000000000005,166427.0,291.33000000000004
Above 60%,Total,Croatia,2014,6.6,Total,Age in completed years,10638.0,Total,Total,2.2,10600.0,74.9,Percentage of total population,10.0,749.0,106000.0,164.78000000000003
Above 60%,Total,Croatia,2015,5.6,Total,Age in completed years,11706.0,Total,Total,1.3,10960.0,74.4,Percentage of total population,9.5,706.8000000000001,104120.0,96.72000000000001
Above 60%,Total,Croatia,2016,5.7,Total,Age in completed years,13985.0,Total,Total,1.0,11480.0,74.6,Percentage of total population,7.4,552.04,84952.0,74.6
Above 60%,Total,Croatia,2017,5.0,Total,Age in completed years,15553.0,Total,Total,0.7,12040.0,73.9,Percentage of total population,6.4,472.96000000000004,77056.0,51.730000000000004
Above 60%,Total,Croatia,2018,5.1,Total,Age in completed years,26029.0,Total,Total,0.6,12550.0,73.2,Percentage of total population,4.7,344.04,58985.0,43.92
Above 60%,Total,Croatia,2019,4.6,Total,Age in completed years,37726.0,Total,Total,0.6,13070.0,72.8,Percentage of total population,3.7,269.36,48359.0,43.68
Above 60%,Total,Croatia,2020,4.5,Total,Age in completed years,33414.0,Total,Total,0.6,12100.0,72.8,Percentage of total population,4.2,305.76,50820.0,43.68
Above 60%,Total,Croatia,2023,2.1,Total,Age in completed years,69396.0,Total,Total,0.4,15370.0,69.0,Percentage of total population,3.6,248.4,55332.0,27.6
Above 60%,Total,Italy,2014,7.6,Total,Age in completed years,277631.0,Total,Total,2.9,27330.0,206.0,Percentage of total population,7.1,1462.6,194043.0,597.4
Above 60%,Total,Italy,2015,7.3,Total,Age in completed years,280078.0,Total,Total,2.5,27620.0,205.8,Percentage of total population,6.7,1378.8600000000001,185054.0,514.5
Above 60%,Total,Italy,2016,5.8,Total,Age in completed years,300823.0,Total,Total,2.7,28010.0,205.4,Percentage of total population,6.6,1355.6399999999999,184866.0,554.58
Above 60%,Total,Italy,2017,4.5,Total,Age in completed years,343440.0,Total,Total,1.9,28510.0,203.3,Percentage of total population,6.4,1301.1200000000001,182464.0,386.27
Above 60%,Total,Italy,2018,3.9,Total,Age in completed years,332324.0,Total,Total,1.9,28810.0,202.9,Percentage of total population,6.1,1237.69,175741.0,385.51
Above 60%,Total,Italy,2019,4.5,Total,Age in completed years,332778.0,Total,Total,2.1,29000.0,201.5,Percentage of total population,5.7,1148.55,165300.0,423.15000000000003
Above 60%,Total,Italy,2020,5.2,Total,Age in completed years,247526.0,Total,Total,1.8,26560.0,200.6,Percentage of total population,5.2,1043.1200000000001,138112.0,361.08
Above 60%,Total,Italy,2023,5.1,Total,Age in completed years,439658.0,Total,Total,1.8,30840.0,198.1,Percentage of total population,4.4,871.6400000000001,135696.0,356.58
Above 60%,Total,Cyprus,2014,1.3,Total,Age in completed years,13003.0,Total,Total,2.2,20170.0,92.5,Percentage of total population,11.0,1017.5,221870.0,203.50000000000003
Above 60%,Total,Cyprus,2015,0.4,Total,Age in completed years,15364.0,Total,Total,2.1,20810.0,92.0,Percentage of total population,10.0,920.0,208100.0,193.20000000000002
Above 60%,Total,Cyprus,2016,0.9,Total,Age in completed years,18590.0,Total,Total,1.3,22060.0,92.4,Percentage of total population,8.6,794.64,189716.0,120.12
Above 60%,Total,Cyprus,2017,0.4,Total,Age in completed years,22458.0,Total,Total,1.4,23130.0,93.3,Percentage of total population,7.4,690.42,171162.0,130.61999999999998
Above 60%,Total,Cyprus,2018,0.8,Total,Age in completed years,25740.0,Total,Total,1.2,24300.0,94.4,Percentage of total population,5.7,538.08,138510.0,113.28
Above 60%,Total,Cyprus,2019,1.4,Total,Age in completed years,27553.0,Total,Total,0.8,25390.0,95.7,Percentage of total population,4.9,468.93000000000006,124411.00000000001,76.56
Above 60%,Total,Cyprus,2020,1.4,Total,Age in completed years,22850.0,Total,Total,1.1,24240.0,95.7,Percentage of total population,5.2,497.64000000000004,126048.0,105.27000000000001
Above 60%,Total,Cyprus,2023,1.0,Total,Age in completed years,40761.0,Total,Total,1.7,28860.0,104.0,Percentage of total population,4.1,426.4,118325.99999999999,176.79999999999998
Above 60%,Total,Latvia,2014,13.7,Total,Age in completed years,10365.0,Total,Total,3.5,11470.0,32.0,Percentage of total population,7.2,230.4,82584.0,112.0
Above 60%,Total,Latvia,2015,12.1,Total,Age in completed years,9479.0,Total,Total,3.0,12010.0,31.8,Percentage of total population,6.7,213.06,80467.0,95.4
Above 60%,Total,Latvia,2016,11.9,Total,Age in completed years,8345.0,Total,Total,1.9,12430.0,31.0,Percentage of total population,6.6,204.6,82038.0,58.9
Above 60%,Total,Latvia,2017,12.9,Total,Age in completed years,9916.0,Total,Total,1.6,12970.0,30.7,Percentage of total population,6.0,184.2,77820.0,49.120000000000005
Above 60%,Total,Latvia,2018,13.0,Total,Age in completed years,10909.0,Total,Total,1.9,13630.0,30.4,Percentage of total population,5.2,158.07999999999998,70876.0,57.76
Above 60%,Total,Latvia,2019,11.6,Total,Age in completed years,11223.0,Total,Total,1.3,13820.0,30.2,Percentage of total population,4.4,132.88,60808.00000000001,39.26
Above 60%,Total,Latvia,2020,10.2,Total,Age in completed years,8840.0,Total,Total,1.3,13430.0,30.2,Percentage of total population,5.7,172.14000000000001,76551.0,39.26
Above 60%,Total,Latvia,2023,10.2,Total,Age in completed years,15629.0,Total,Total,1.9,14640.0,30.2,Percentage of total population,4.5,135.9,65880.0,57.379999999999995
Above 60%,Total,Lithuania,2014,8.2,Total,Age in completed years,33544.0,Total,Total,2.2,12400.0,46.8,Percentage of total population,7.1,332.28,88040.0,102.96000000000001
Above 60%,Total,Lithuania,2015,6.0,Total,Age in completed years,31085.0,Total,Total,2.5,12860.0,46.4,Percentage of total population,6.1,283.03999999999996,78446.0,116.0
Above 60%,Total,Lithuania,2016,5.7,Total,Age in completed years,31395.0,Total,Total,1.7,13360.0,45.8,Percentage of total population,5.3,242.73999999999998,70808.0,77.86
Above 60%,Total,Lithuania,2017,5.7,Total,Age in completed years,33305.0,Total,Total,1.3,14150.0,45.2,Percentage of total population,4.8,216.96,67920.0,58.760000000000005
Above 60%,Total,Lithuania,2018,5.8,Total,Age in completed years,37420.0,Total,Total,0.6,14970.0,44.7,Percentage of total population,4.3,192.21,64371.0,26.82
Above 60%,Total,Lithuania,2019,6.6,Total,Age in completed years,46526.0,Total,Total,0.9,15710.0,44.6,Percentage of total population,4.4,196.24,69124.0,40.14
Above 60%,Total,Lithuania,2020,4.4,Total,Age in completed years,46020.0,Total,Total,0.3,15720.0,44.6,Percentage of total population,6.0,267.6,94320.0,13.38
Above 60%,Total,Lithuania,2023,3.9,Total,Age in completed years,66682.0,Total,Total,1.1,16900.0,45.8,Percentage of total population,4.8,219.83999999999997,81120.0,50.38
Above 60%,Total,Luxembourg,2014,0.9,Total,Age in completed years,22332.0,Total,Total,2.1,94820.0,215.1,Percentage of total population,3.7,795.87,350834.0,451.71
Above 60%,Total,Luxembourg,2015,0.7,Total,Age in completed years,23803.0,Total,Total,2.1,95090.0,220.3,Percentage of total population,4.3,947.29,408887.0,462.63000000000005
Above 60%,Total,Luxembourg,2016,1.2,Total,Age in completed years,22888.0,Total,Total,2.9,97300.0,225.1,Percentage of total population,4.0,900.4,389200.0,652.79
Above 60%,Total,Luxembourg,2017,1.7,Total,Age in completed years,24379.0,Total,Total,2.6,96460.0,230.6,Percentage of total population,3.5,807.1,337610.0,599.5600000000001
Above 60%,Total,Luxembourg,2018,1.6,Total,Age in completed years,24644.0,Total,Total,3.3,96110.0,235.1,Percentage of total population,3.6,846.36,345996.0,775.8299999999999
Above 60%,Total,Luxembourg,2019,0.9,Total,Age in completed years,26668.0,Total,Total,4.3,96730.0,239.8,Percentage of total population,3.7,887.2600000000001,357901.0,1031.14
Above 60%,Total,Luxembourg,2020,1.0,Total,Age in completed years,22490.0,Total,Total,3.1,94770.0,239.8,Percentage of total population,4.4,1055.1200000000001,416988.00000000006,743.3800000000001
Above 60%,Total,Luxembourg,2023,1.5,Total,Age in completed years,26964.0,Total,Total,5.8,94830.0,257.7,Percentage of total population,3.5,901.9499999999999,331905.0,1494.6599999999999
Above 60%,Total,Hungary,2014,12.9,Total,Age in completed years,54581.0,Total,Total,8.3,11070.0,108.1,Percentage of total population,4.5,486.45,49815.0,897.23
Above 60%,Total,Hungary,2015,12.0,Total,Age in completed years,58344.0,Total,Total,4.5,11520.0,107.9,Percentage of total population,4.1,442.39,47231.99999999999,485.55
Above 60%,Total,Hungary,2016,14.2,Total,Age in completed years,53618.0,Total,Total,4.7,11850.0,107.6,Percentage of total population,3.1,333.56,36735.0,505.71999999999997
Above 60%,Total,Hungary,2017,14.5,Total,Age in completed years,68070.0,Total,Total,4.7,12380.0,107.3,Percentage of total population,2.6,278.98,32188.0,504.31
Above 60%,Total,Hungary,2018,6.4,Total,Age in completed years,82937.0,Total,Total,4.2,13100.0,107.1,Percentage of total population,2.3,246.32999999999996,30129.999999999996,449.82
Above 60%,Total,Hungary,2019,6.2,Total,Age in completed years,88581.0,Total,Total,1.7,13780.0,107.1,Percentage of total population,2.1,224.91,28938.0,182.07
Above 60%,Total,Hungary,2020,5.0,Total,Age in completed years,75470.0,Total,Total,2.7,13210.0,107.1,Percentage of total population,2.7,289.17,35667.0,289.17
Above 60%,Total,Hungary,2023,3.6,Total,Age in completed years,96192.0,Total,Total,3.9,14760.0,105.1,Percentage of total population,2.8,294.28,41328.0,409.89
Above 60%,Total,Malta,2014,1.0,Total,Age in completed years,15928.0,Total,Total,0.8,21490.0,1375.2,Percentage of total population,3.4,4675.68,73066.0,1100.16
Above 60%,Total,Malta,2015,0.9,Total,Age in completed years,18202.0,Total,Total,0.4,23000.0,1408.4,Percentage of total population,3.2,4506.88,73600.0,563.36
Above 60%,Total,Malta,2016,1.0,Total,Age in completed years,18116.0,Total,Total,0.6,23400.0,1450.2,Percentage of total population,2.9,4205.58,67860.0,870.12
Above 60%,Total,Malta,2017,0.6,Total,Age in completed years,22750.0,Total,Total,0.6,25710.0,1495.2,Percentage of total population,2.5,3738.0,64275.0,897.12
Above 60%,Total,Malta,2018,0.5,Total,Age in completed years,27394.0,Total,Total,0.9,26600.0,1548.3,Percentage of total population,2.5,3870.75,66500.0,1393.47
Above 60%,Total,Malta,2019,0.8,Total,Age in completed years,29304.0,Total,Total,1.2,26570.0,1595.1,Percentage of total population,2.7,4306.77,71739.0,1914.12
Above 60%,Total,Malta,2020,0.9,Total,Age in completed years,14751.0,Total,Total,1.3,25120.0,1610.4,Percentage of total population,3.2,5153.280000000001,80384.0,2093.52
Above 60%,Total,Malta,2023,0.5,Total,Age in completed years,42239.0,Total,Total,2.3,30090.0,1766.0,Percentage of total population,2.5,4415.0,75225.0,4061.7999999999997
Above 60%,Total,Netherlands,2014,0.4,Total,Age in completed years,145323.0,Total,Total,10.7,40600.0,500.9,Percentage of total population,6.1,3055.49,247660.0,5359.629999999999
Above 60%,Total,Netherlands,2015,0.5,Total,Age in completed years,166872.0,Total,Total,10.2,41270.0,503.1,Percentage of total population,5.7,2867.67,235239.0,5131.62
Above 60%,Total,Netherlands,2016,0.9,Total,Age in completed years,189232.0,Total,Total,6.0,42050.0,498.1,Percentage of total population,5.1,2540.31,214454.99999999997,2988.6000000000004
Above 60%,Total,Netherlands,2017,0.6,Total,Age in completed years,189646.0,Total,Total,4.6,42970.0,501.1,Percentage of total population,4.2,2104.6200000000003,180474.0,2305.06
Above 60%,Total,Netherlands,2018,0.9,Total,Age in completed years,194306.0,Total,Total,4.7,43680.0,504.0,Percentage of total population,3.6,1814.4,157248.0,2368.8
Above 60%,Total,Netherlands,2019,1.0,Total,Age in completed years,215756.0,Total,Total,5.4,44390.0,507.3,Percentage of total population,3.3,1674.09,146487.0,2739.42
Above 60%,Total,Netherlands,2020,0.9,Total,Age in completed years,182244.0,Total,Total,4.4,42440.0,507.3,Percentage of total population,3.6,1826.28,152784.0,2232.1200000000003
Above 60%,Total,Netherlands,2023,0.8,Total,Age in completed years,274597.0,Total,Total,5.6,45930.0,526.0,Percentage of total population,2.7,1420.2,124011.00000000001,2945.6
Above 60%,Total,Austria,2014,2.8,Total,Age in completed years,116262.0,Total,Total,1.6,39520.0,103.7,Percentage of total population,4.0,414.8,158080.0,165.92000000000002
Above 60%,Total,Austria,2015,3.1,Total,Age in completed years,166323.0,Total,Total,1.8,39640.0,104.9,Percentage of total population,4.1,430.09,162524.0,188.82000000000002
Above 60%,Total,Austria,2016,3.2,Total,Age in completed years,129509.0,Total,Total,2.0,39970.0,106.0,Percentage of total population,4.4,466.40000000000003,175868.0,212.0
Above 60%,Total,Austria,2017,3.3,Total,Age in completed years,111801.0,Total,Total,1.5,40620.0,106.8,Percentage of total population,4.0,427.2,162480.0,160.2
Above 60%,Total,Austria,2018,1.9,Total,Age in completed years,105633.0,Total,Total,1.9,41430.0,107.1,Percentage of total population,3.6,385.56,149148.0,203.48999999999998
Above 60%,Total,Austria,2019,2.5,Total,Age in completed years,109167.0,Total,Total,1.9,41970.0,107.6,Percentage of total population,3.3,355.08,138501.0,204.43999999999997
Above 60%,Total,Austria,2020,2.4,Total,Age in completed years,103565.0,Total,Total,1.4,39140.0,107.6,Percentage of total population,4.1,441.1599999999999,160474.0,150.64
Above 60%,Total,Austria,2023,2.8,Total,Age in completed years,147591.0,Total,Total,1.3,41910.0,110.7,Percentage of total population,3.5,387.45,146685.0,143.91
Above 60%,Total,Poland,2014,6.9,Total,Age in completed years,222275.0,Total,Total,4.8,10900.0,123.7,Percentage of total population,5.5,680.35,59950.0,593.76
Above 60%,Total,Poland,2015,7.6,Total,Age in completed years,218147.0,Total,Total,3.7,11390.0,123.6,Percentage of total population,4.6,568.56,52393.99999999999,457.32
Above 60%,Total,Poland,2016,7.3,Total,Age in completed years,208302.0,Total,Total,2.9,11740.0,123.6,Percentage of total population,3.8,469.67999999999995,44612.0,358.44
Above 60%,Total,Poland,2017,8.7,Total,Age in completed years,209353.0,Total,Total,2.3,12340.0,123.6,Percentage of total population,3.0,370.79999999999995,37020.0,284.28
Above 60%,Total,Poland,2018,7.3,Total,Age in completed years,214083.0,Total,Total,2.1,13120.0,123.6,Percentage of total population,2.4,296.64,31488.0,259.56
Above 60%,Total,Poland,2019,7.0,Total,Age in completed years,226649.0,Total,Total,2.1,13720.0,123.6,Percentage of total population,2.0,247.2,27440.0,259.56
Above 60%,Total,Poland,2023,4.1,Total,Age in completed years,303275.0,Total,Total,2.1,15290.0,119.4,Percentage of total population,1.8,214.92000000000002,27522.0,250.74
Above 60%,Total,Portugal,2014,3.7,Total,Age in completed years,23077.0,Total,Total,3.2,16950.0,112.8,Percentage of total population,9.2,1037.76,155940.0,360.96000000000004
Above 60%,Total,Portugal,2015,3.2,Total,Age in completed years,36849.0,Total,Total,3.2,17280.0,112.3,Percentage of total population,8.2,920.8599999999999,141696.0,359.36
Above 60%,Total,Portugal,2016,3.4,Total,Age in completed years,37644.0,Total,Total,2.5,17670.0,113.5,Percentage of total population,7.3,828.55,128991.0,283.75
Above 60%,Total,Portugal,2017,2.8,Total,Age in completed years,46649.0,Total,Total,2.4,18280.0,113.2,Percentage of total population,5.9,667.8800000000001,107852.0,271.68
Above 60%,Total,Portugal,2018,3.2,Total,Age in completed years,55357.0,Total,Total,2.3,18830.0,113.0,Percentage of total population,4.7,531.1,88501.0,259.9
Above 60%,Total,Portugal,2019,2.8,Total,Age in completed years,95382.0,Total,Total,2.2,19310.0,113.0,Percentage of total population,4.3,485.9,83033.0,248.60000000000002
Above 60%,Total,Portugal,2020,3.3,Total,Age in completed years,83654.0,Total,Total,1.5,17680.0,113.0,Percentage of total population,4.5,508.5,79560.0,169.5
Above 60%,Total,Portugal,2023,4.2,Total,Age in completed years,189367.0,Total,Total,2.0,20200.0,116.3,Percentage of total population,4.4,511.72,88880.0,232.6
Above 60%,Total,Romania,2014,12.3,Total,Age in completed years,136035.0,Total,Total,8.1,7800.0,86.6,Percentage of total population,4.5,389.7,35100.0,701.4599999999999
Above 60%,Total,Romania,2015,11.3,Total,Age in completed years,132795.0,Total,Total,6.9,8090.0,86.1,Percentage of total population,4.5,387.45,36405.0,594.09
Above 60%,Total,Romania,2016,12.1,Total,Age in completed years,137455.0,Total,Total,6.1,8370.0,85.6,Percentage of total population,3.8,325.28,31806.0,522.16
Above 60%,Total,Romania,2017,11.2,Total,Age in completed years,177435.0,Total,Total,4.9,9100.0,85.2,Percentage of total population,3.3,281.15999999999997,30030.0,417.48
Above 60%,Total,Romania,2018,9.5,Total,Age in completed years,172578.0,Total,Total,3.2,9650.0,83.1,Percentage of total population,2.9,240.98999999999998,27985.0,265.92
Above 60%,Total,Romania,2019,7.7,Total,Age in completed years,202422.0,Total,Total,2.1,10080.0,82.7,Percentage of total population,2.7,223.29000000000002,27216.0,173.67000000000002
Above 60%,Total,Romania,2020,7.7,Total,Age in completed years,145519.0,Total,Total,2.0,9760.0,82.7,Percentage of total population,3.4,281.18,33184.0,165.4
Above 60%,Total,Romania,2023,5.2,Total,Age in completed years,324091.0,Total,Total,4.0,11120.0,81.4,Percentage of total population,3.2,260.48,35584.0,325.6
Above 60%,Total,Slovenia,2014,5.4,Total,Age in completed years,13846.0,Total,Total,2.6,18230.0,102.4,Percentage of total population,6.1,624.64,111203.0,266.24
Above 60%,Total,Slovenia,2015,4.5,Total,Age in completed years,15420.0,Total,Total,2.6,18660.0,102.4,Percentage of total population,5.7,583.6800000000001,106362.0,266.24
Above 60%,Total,Slovenia,2016,3.6,Total,Age in completed years,16623.0,Total,Total,2.0,19210.0,102.5,Percentage of total population,5.0,512.5,96050.0,205.0
Above 60%,Total,Slovenia,2017,3.9,Total,Age in completed years,18808.0,Total,Total,1.9,20190.0,102.6,Percentage of total population,4.2,430.92,84798.0,194.93999999999997
Above 60%,Total,Slovenia,2018,4.2,Total,Age in completed years,28455.0,Total,Total,1.9,21010.0,102.9,Percentage of total population,3.3,339.57,69333.0,195.51
Above 60%,Total,Slovenia,2019,3.5,Total,Age in completed years,31319.0,Total,Total,1.7,21570.0,103.7,Percentage of total population,2.9,300.73,62553.0,176.29
Above 60%,Total,Slovenia,2020,2.7,Total,Age in completed years,36110.0,Total,Total,1.8,20560.0,103.7,Percentage of total population,3.2,331.84000000000003,65792.0,186.66
Above 60%,Total,Slovenia,2023,2.8,Total,Age in completed years,33939.0,Total,Total,1.3,23230.0,105.3,Percentage of total population,2.4,252.71999999999997,55752.0,136.89000000000001
Above 60%,Total,Slovakia,2014,2.0,Total,Age in completed years,5357.0,Total,Total,5.1,14100.0,110.5,Percentage of total population,8.5,939.25,119850.0,563.55
Above 60%,Total,Slovakia,2015,2.6,Total,Age in completed years,6997.0,Total,Total,5.5,14820.0,110.6,Percentage of total population,7.5,829.5,111150.0,608.3
Above 60%,Total,Slovakia,2016,2.5,Total,Age in completed years,7686.0,Total,Total,3.7,15090.0,111.5,Percentage of total population,6.4,713.6,96576.0,412.55
Above 60%,Total,Slovakia,2017,3.0,Total,Age in completed years,7188.0,Total,Total,4.1,15500.0,111.7,Percentage of total population,5.4,603.1800000000001,83700.0,457.96999999999997
Above 60%,Total,Slovakia,2018,2.2,Total,Age in completed years,7253.0,Total,Total,1.3,16110.0,111.8,Percentage of total population,4.3,480.73999999999995,69273.0,145.34
Above 60%,Total,Slovakia,2019,2.0,Total,Age in completed years,7016.0,Total,Total,2.8,16450.0,112.0,Percentage of total population,3.8,425.59999999999997,62510.0,313.59999999999997
Above 60%,Total,Slovakia,2020,2.1,Total,Age in completed years,6775.0,Total,Total,0.8,16010.0,112.0,Percentage of total population,4.4,492.80000000000007,70444.0,89.60000000000001
Above 60%,Total,Slovakia,2023,2.1,Total,Age in completed years,5923.0,Total,Total,1.2,17370.0,111.4,Percentage of total population,3.9,434.46000000000004,67743.0,133.68
Above 60%,Total,Finland,2014,0.5,Total,Age in completed years,31507.0,Total,Total,2.8,38300.0,18.0,Percentage of total population,5.7,102.60000000000001,218310.0,50.4
Above 60%,Total,Finland,2015,0.5,Total,Age in completed years,28746.0,Total,Total,2.7,38350.0,18.0,Percentage of total population,6.1,109.8,233935.0,48.6
Above 60%,Total,Finland,2016,0.4,Total,Age in completed years,34905.0,Total,Total,2.4,39230.0,18.1,Percentage of total population,5.8,104.98,227534.0,43.440000000000005
Above 60%,Total,Finland,2017,0.5,Total,Age in completed years,31797.0,Total,Total,2.5,40430.0,18.1,Percentage of total population,5.7,103.17000000000002,230451.0,45.25
Above 60%,Total,Finland,2018,0.7,Total,Age in completed years,31106.0,Total,Total,2.4,40860.0,18.1,Percentage of total population,4.9,88.69000000000001,200214.0,43.440000000000005
Above 60%,Total,Finland,2019,0.8,Total,Age in completed years,32758.0,Total,Total,2.1,41370.0,18.2,Percentage of total population,4.5,81.89999999999999,186165.0,38.22
Above 60%,Total,Finland,2020,0.8,Total,Age in completed years,32898.0,Total,Total,2.3,40270.0,18.1,Percentage of total population,5.1,92.31,205377.0,41.63
Above 60%,Total,Finland,2023,0.7,Total,Age in completed years,73236.0,Total,Total,3.1,40780.0,18.4,Percentage of total population,5.0,92.0,203900.0,57.04
Above 60%,Total,Sweden,2014,1.2,Total,Age in completed years,126966.0,Total,Total,2.5,44690.0,23.8,Percentage of total population,5.8,138.04,259202.0,59.5
Above 60%,Total,Sweden,2015,1.5,Total,Age in completed years,134240.0,Total,Total,2.6,46160.0,24.1,Percentage of total population,5.4,130.14000000000001,249264.00000000003,62.660000000000004
Above 60%,Total,Sweden,2016,1.9,Total,Age in completed years,163005.0,Total,Total,2.6,46590.0,24.4,Percentage of total population,5.1,124.43999999999998,237608.99999999997,63.44
Above 60%,Total,Sweden,2017,1.6,Total,Age in completed years,144489.0,Total,Total,2.7,46800.0,24.7,Percentage of total population,4.9,121.03,229320.00000000003,66.69
Above 60%,Total,Sweden,2018,1.8,Total,Age in completed years,132602.0,Total,Total,2.6,47080.0,25.0,Percentage of total population,4.7,117.5,221276.0,65.0
Above 60%,Total,Sweden,2019,1.5,Total,Age in completed years,115805.0,Total,Total,2.8,47790.0,25.2,Percentage of total population,5.0,126.0,238950.0,70.55999999999999
Above 60%,Total,Sweden,2020,2.0,Total,Age in completed years,82518.0,Total,Total,2.5,46550.0,25.2,Percentage of total population,6.2,156.24,288610.0,63.0
Above 60%,Total,Sweden,2023,1.5,Total,Age in completed years,94514.0,Total,Total,4.0,48350.0,25.9,Percentage of total population,5.8,150.22,280430.0,103.6
