rskpovth,sex_x,geo,year,deprivation_rate,citizen,agedef,immigration_count,age,sex_y,overburden_rate,gdp_per_capita,population_density,unit,unemployment_rate,density_unemployment,gdp_unemployment,density_overburden
Total,Total,Cyprus,2017,0.9,Total,Age in completed years,22458.0,Total,Total,2.8,23130.0,93.3,Percentage of total population,7.4,690.42,171162.0,261.23999999999995
Total,Total,Cyprus,2018,1.1,Total,Age in completed years,25740.0,Total,Total,2.0,24300.0,94.4,Percentage of total population,5.7,538.08,138510.0,188.8
Total,Total,Cyprus,2019,1.9,Total,Age in completed years,27553.0,Total,Total,2.2,25390.0,95.7,Percentage of total population,4.9,468.93000000000006,124411.00000000001,210.54000000000002
Total,Total,Cyprus,2020,1.7,Total,Age in completed years,22850.0,Total,Total,1.9,24240.0,95.7,Percentage of total population,5.2,497.64000000000004,126048.0,181.82999999999998
Total,Total,Cyprus,2023,1.2,Total,Age in completed years,40761.0,Total,Total,2.6,28860.0,104.0,Percentage of total population,4.1,426.4,118325.99999999999,270.40000000000003
Total,Total,Latvia,2014,16.6,Total,Age in completed years,10365.0,Total,Total,9.6,11470.0,32.0,Percentage of total population,7.2,230.4,82584.0,307.2
Total,Total,Latvia,2015,15.5,Total,Age in completed years,9479.0,Total,Total,8.1,12010.0,31.8,Percentage of total population,6.7,213.06,80467.0,257.58
Total,Total,Latvia,2016,14.6,Total,Age in completed years,8345.0,Total,Total,7.0,12430.0,31.0,Percentage of total population,6.6,204.6,82038.0,217.0
Total,Total,Latvia,2017,15.2,Total,Age in completed years,9916.0,Total,Total,6.9,12970.0,30.7,Percentage of total population,6.0,184.2,77820.0,211.83
Total,Total,Latvia,2018,14.9,Total,Age in completed years,10909.0,Total,Total,6.7,13630.0,30.4,Percentage of total population,5.2,158.07999999999998,70876.0,203.68
Total,Total,Latvia,2019,12.7,Total,Age in completed years,11223.0,Total,Total,5.4,13820.0,30.2,Percentage of total population,4.4,132.88,60808.00000000001,163.08
Total,Total,Latvia,2020,11.5,Total,Age in completed years,8840.0,Total,Total,4.8,13430.0,30.2,Percentage of total population,5.7,172.14000000000001,76551.0,144.95999999999998
Total,Total,Latvia,2023,11.6,Total,Age in completed years,15629.0,Total,Total,7.2,14640.0,30.2,Percentage of total population,4.5,135.9,65880.0,217.44
Total,Total,Lithuania,2014,10.1,Total,Age in completed years,33544.0,Total,Total,7.1,12400.0,46.8,Percentage of total population,7.1,332.28,88040.0,332.28
Total,Total,Lithuania,2015,8.9,Total,Age in completed years,31085.0,Total,Total,9.1,12860.0,46.4,Percentage of total population,6.1,283.03999999999996,78446.0,422.23999999999995
Total,Total,Lithuania,2016,8.6,Total,Age in completed years,31395.0,Total,Total,7.8,13360.0,45.8,Percentage of total population,5.3,242.73999999999998,70808.0,357.23999999999995
Total,Total,Lithuania,2017,8.1,Total,Age in completed years,33305.0,Total,Total,7.2,14150.0,45.2,Percentage of total population,4.8,216.96,67920.0,325.44000000000005
Total,Total,Lithuania,2018,6.9,Total,Age in completed years,37420.0,Total,Total,5.6,14970.0,44.7,Percentage of total population,4.3,192.21,64371.0,250.32
Total,Total,Lithuania,2019,7.8,Total,Age in completed years,46526.0,Total,Total,4.8,15710.0,44.6,Percentage of total population,4.4,196.24,69124.0,214.08
Total,Total,Lithuania,2020,5.4,Total,Age in completed years,46020.0,Total,Total,2.7,15720.0,44.6,Percentage of total population,6.0,267.6,94320.0,120.42000000000002
Total,Total,Lithuania,2023,4.0,Total,Age in completed years,66682.0,Total,Total,5.2,16900.0,45.8,Percentage of total population,4.8,219.83999999999997,81120.0,238.16
Total,Total,Luxembourg,2014,1.6,Total,Age in completed years,22332.0,Total,Total,6.8,94820.0,215.1,Percentage of total population,3.7,795.87,350834.0,1462.6799999999998
Total,Total,Luxembourg,2015,1.7,Total,Age in completed years,23803.0,Total,Total,6.0,95090.0,220.3,Percentage of total population,4.3,947.29,408887.0,1321.8000000000002
Total,Total,Luxembourg,2016,2.1,Total,Age in completed years,22888.0,Total,Total,7.0,97300.0,225.1,Percentage of total population,4.0,900.4,389200.0,1575.7
Total,Total,Luxembourg,2017,2.3,Total,Age in completed years,24379.0,Total,Total,7.1,96460.0,230.6,Percentage of total population,3.5,807.1,337610.0,1637.26
Total,Total,Luxembourg,2018,2.2,Total,Age in completed years,24644.0,Total,Total,9.3,96110.0,235.1,Percentage of total population,3.6,846.36,345996.0,2186.4300000000003
Total,Total,Luxembourg,2019,2.0,Total,Age in completed years,26668.0,Total,Total,10.1,96730.0,239.8,Percentage of total population,3.7,887.2600000000001,357901.0,2421.98
Total,Total,Luxembourg,2020,1.6,Total,Age in completed years,22490.0,Total,Total,8.5,94770.0,239.8,Percentage of total population,4.4,1055.1200000000001,416988.00000000006,2038.3000000000002
Total,Total,Luxembourg,2023,2.2,Total,Age in completed years,26964.0,Total,Total,11.5,94830.0,257.7,Percentage of total population,3.5,901.9499999999999,331905.0,2963.5499999999997
Total,Total,Hungary,2014,17.3,Total,Age in completed years,54581.0,Total,Total,12.8,11070.0,108.1,Percentage of total population,4.5,486.45,49815.0,1383.68
