rskpovth,age,sex,geo,year,overburden_rate
Total,Total,Total,Austria,2004,7.9
Total,Total,Total,Austria,2005,4.6
Total,Total,Total,Austria,2006,5.0
Total,Total,Total,Austria,2007,5.4
Total,Total,Total,Austria,2008,8.5
Total,Total,Total,Austria,2009,8.0
Total,Total,Total,Austria,2010,7.5
Total,Total,Total,Austria,2011,7.8
Total,Total,Total,Austria,2012,7.0
Total,Total,Total,Austria,2013,7.2
Total,Total,Total,Austria,2014,6.6
Total,Total,Total,Austria,2015,6.4
Total,Total,Total,Austria,2016,7.2
Total,Total,Total,Austria,2017,7.1
Total,Total,Total,Austria,2018,6.8
Total,Total,Total,Austria,2019,7.0
Total,Total,Total,Austria,2020,6.3
Total,Total,Total,Austria,2021,6.1
Total,Total,Total,Austria,2022,7.4
Total,Total,Total,Austria,2023,6.0
Total,Total,Total,Austria,2024,6.3
Total,Total,Total,Austria,2025,6.1
Total,Total,Total,Poland,2005,16.5
Total,Total,Total,Poland,2006,12.0
Total,Total,Total,Poland,2007,10.5
Total,Total,Total,Poland,2008,9.7
Total,Total,Total,Poland,2009,8.2
Total,Total,Total,Poland,2010,9.1
Total,Total,Total,Poland,2011,10.2
Total,Total,Total,Poland,2012,10.5
Total,Total,Total,Poland,2013,10.3
Total,Total,Total,Poland,2014,9.6
Total,Total,Total,Poland,2015,8.7
Total,Total,Total,Poland,2016,7.7
Total,Total,Total,Poland,2017,6.7
Total,Total,Total,Poland,2018,6.2
Total,Total,Total,Poland,2019,6.0
Total,Total,Total,Poland,2020,4.9
Total,Total,Total,Poland,2021,5.7
Total,Total,Total,Poland,2022,5.6
Total,Total,Total,Poland,2023,5.9
Total,Total,Total,Poland,2024,5.2
Total,Total,Total,Poland,2025,4.1
Total,Total,Total,Portugal,2004,4.7
Total,Total,Total,Portugal,2005,4.3
Total,Total,Total,Portugal,2006,4.5
Total,Total,Total,Portugal,2007,7.4
Total,Total,Total,Portugal,2008,7.6
Total,Total,Total,Portugal,2009,6.1
Total,Total,Total,Portugal,2010,4.2
Total,Total,Total,Portugal,2011,7.2
Total,Total,Total,Portugal,2012,8.3
Total,Total,Total,Portugal,2013,8.3
Total,Total,Total,Portugal,2014,9.2
Total,Total,Total,Portugal,2015,9.1
Total,Total,Total,Portugal,2016,7.5
Total,Total,Total,Portugal,2017,6.7
Total,Total,Total,Portugal,2018,5.7
Total,Total,Total,Portugal,2019,5.7
Total,Total,Total,Portugal,2020,4.1
Total,Total,Total,Portugal,2021,5.9
Total,Total,Total,Portugal,2022,5.0
Total,Total,Total,Portugal,2023,4.9
Total,Total,Total,Portugal,2024,6.9
Total,Total,Total,Portugal,2025,6.3
Total,Total,Total,Romania,2007,19.7
Total,Total,Total,Romania,2008,19.1
Total,Total,Total,Romania,2009,15.4
Total,Total,Total,Romania,2010,15.8
Total,Total,Total,Romania,2011,10.5
Total,Total,Total,Romania,2012,18.4
Total,Total,Total,Romania,2013,16.9
Total,Total,Total,Romania,2014,16.2
Total,Total,Total,Romania,2015,15.9
Total,Total,Total,Romania,2016,14.4
Total,Total,Total,Romania,2017,12.3
Total,Total,Total,Romania,2018,10.3
Total,Total,Total,Romania,2019,8.6
Total,Total,Total,Romania,2020,7.1
Total,Total,Total,Romania,2021,7.5
Total,Total,Total,Romania,2022,8.5
Total,Total,Total,Romania,2023,9.1
Total,Total,Total,Romania,2024,4.7
Total,Total,Total,Romania,2025,5.0
Total,Total,Total,Slovenia,2005,4.7
Total,Total,Total,Slovenia,2006,3.0
Total,Total,Total,Slovenia,2007,5.0
Total,Total,Total,Slovenia,2008,4.4
Total,Total,Total,Slovenia,2009,3.9
Total,Total,Total,Slovenia,2010,4.3
Total,Total,Total,Slovenia,2011,4.7
Total,Total,Total,Slovenia,2012,5.2
Total,Total,Total,Slovenia,2013,6.0
Total,Total,Total,Slovenia,2014,6.4
Total,Total,Total,Slovenia,2015,6.1
Total,Total,Total,Slovenia,2016,5.7
Total,Total,Total,Slovenia,2017,5.2
Total,Total,Total,Slovenia,2018,4.9
Total,Total,Total,Slovenia,2019,4.1
Total,Total,Total,Slovenia,2020,4.4
Total,Total,Total,Slovenia,2021,4.1
Total,Total,Total,Slovenia,2022,4.1
Total,Total,Total,Slovenia,2023,3.7
Total,Total,Total,Slovenia,2024,3.8
Total,Total,Total,Slovenia,2025,3.5
Total,Total,Total,Slovakia,2005,14.6
Total,Total,Total,Slovakia,2006,16.4
Total,Total,Total,Slovakia,2007,17.8
Total,Total,Total,Slovakia,2008,5.6
Total,Total,Total,Slovakia,2009,9.4
Total,Total,Total,Slovakia,2010,7.6
Total,Total,Total,Slovakia,2011,8.4
Total,Total,Total,Slovakia,2012,8.4
Total,Total,Total,Slovakia,2013,8.3
Total,Total,Total,Slovakia,2014,9.0
Total,Total,Total,Slovakia,2015,9.1
Total,Total,Total,Slovakia,2016,7.7
Total,Total,Total,Slovakia,2017,8.4
Total,Total,Total,Slovakia,2018,4.1
Total,Total,Total,Slovakia,2019,5.7
Total,Total,Total,Slovakia,2020,3.2
Total,Total,Total,Slovakia,2021,7.1
Total,Total,Total,Slovakia,2022,2.5
Total,Total,Total,Slovakia,2023,5.9
Total,Total,Total,Slovakia,2024,6.4
Total,Total,Total,Slovakia,2025,3.5
Total,Total,Total,Finland,2004,3.8
Total,Total,Total,Finland,2005,3.5
Total,Total,Total,Finland,2006,3.7
Total,Total,Total,Finland,2007,4.7
Total,Total,Total,Finland,2008,4.7
Total,Total,Total,Finland,2009,4.4
Total,Total,Total,Finland,2010,4.2
Total,Total,Total,Finland,2011,4.4
Total,Total,Total,Finland,2012,4.5
Total,Total,Total,Finland,2013,4.9
Total,Total,Total,Finland,2014,5.1
Total,Total,Total,Finland,2015,4.9
Total,Total,Total,Finland,2016,4.4
Total,Total,Total,Finland,2017,4.3
Total,Total,Total,Finland,2018,4.3
Total,Total,Total,Finland,2019,4.0
Total,Total,Total,Finland,2020,4.1
Total,Total,Total,Finland,2021,4.3
Total,Total,Total,Finland,2022,5.4
Total,Total,Total,Finland,2023,5.5
Total,Total,Total,Finland,2024,5.4
Total,Total,Total,Finland,2025,4.7
Total,Total,Total,Sweden,2004,9.2
Total,Total,Total,Sweden,2005,9.2
